symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2020-02-20 00:00:00+00:00,22.03,22.03,22.03,22.03,0,21.704478387,21.704478387,21.704478387,21.704478387,0,0.0,1.0
NASDX,2020-02-21 00:00:00+00:00,21.61,21.61,21.61,21.61,0,21.2906844277,21.2906844277,21.2906844277,21.2906844277,0,0.0,1.0
NASDX,2020-02-24 00:00:00+00:00,20.77,20.77,20.77,20.77,0,20.4630965092,20.4630965092,20.4630965092,20.4630965092,0,0.0,1.0
NASDX,2020-02-25 00:00:00+00:00,20.21,20.21,20.21,20.21,0,19.9113712302,19.9113712302,19.9113712302,19.9113712302,0,0.0,1.0
NASDX,2020-02-26 00:00:00+00:00,20.3,20.3,20.3,20.3,0,20.0000413643,20.0000413643,20.0000413643,20.0000413643,0,0.0,1.0
NASDX,2020-02-27 00:00:00+00:00,19.3,19.3,19.3,19.3,0,19.0148176518,19.0148176518,19.0148176518,19.0148176518,0,0.0,1.0
NASDX,2020-02-28 00:00:00+00:00,19.36,19.36,19.36,19.36,0,19.0739310745,19.0739310745,19.0739310745,19.0739310745,0,0.0,1.0
NASDX,2020-03-02 00:00:00+00:00,20.31,20.31,20.31,20.31,0,20.0098936014,20.0098936014,20.0098936014,20.0098936014,0,0.0,1.0
NASDX,2020-03-03 00:00:00+00:00,19.66,19.66,19.66,19.66,0,19.3694981883,19.3694981883,19.3694981883,19.3694981883,0,0.0,1.0
NASDX,2020-03-04 00:00:00+00:00,20.47,20.47,20.47,20.47,0,20.1675293954,20.1675293954,20.1675293954,20.1675293954,0,0.0,1.0
NASDX,2020-03-05 00:00:00+00:00,19.84,19.84,19.84,19.84,0,19.5468384566,19.5468384566,19.5468384566,19.5468384566,0,0.0,1.0
NASDX,2020-03-06 00:00:00+00:00,19.52,19.52,19.52,19.52,0,19.2315668685,19.2315668685,19.2315668685,19.2315668685,0,0.0,1.0
NASDX,2020-03-09 00:00:00+00:00,18.19,18.19,18.19,18.19,0,17.9212193309,17.9212193309,17.9212193309,17.9212193309,0,0.0,1.0
NASDX,2020-03-10 00:00:00+00:00,19.15,19.15,19.15,19.15,0,18.8670340949,18.8670340949,18.8670340949,18.8670340949,0,0.0,1.0
NASDX,2020-03-11 00:00:00+00:00,18.32,18.32,18.32,18.32,0,18.0492984135,18.0492984135,18.0492984135,18.0492984135,0,0.0,1.0
NASDX,2020-03-12 00:00:00+00:00,16.62,16.62,16.62,16.62,0,16.3744181022,16.3744181022,16.3744181022,16.3744181022,0,0.0,1.0
NASDX,2020-03-13 00:00:00+00:00,18.32,18.32,18.32,18.32,0,18.0492984135,18.0492984135,18.0492984135,18.0492984135,0,0.0,1.0
NASDX,2020-03-16 00:00:00+00:00,16.09,16.09,16.09,16.09,0,15.8522495346,15.8522495346,15.8522495346,15.8522495346,0,0.0,1.0
NASDX,2020-03-17 00:00:00+00:00,17.14,17.14,17.14,17.14,0,16.8867344327,16.8867344327,16.8867344327,16.8867344327,0,0.0,1.0
NASDX,2020-03-18 00:00:00+00:00,16.44,16.44,16.44,16.44,0,16.197077834,16.197077834,16.197077834,16.197077834,0,0.0,1.0
NASDX,2020-03-19 00:00:00+00:00,16.71,16.71,16.71,16.71,0,16.4630882363,16.4630882363,16.4630882363,16.4630882363,0,0.0,1.0
NASDX,2020-03-20 00:00:00+00:00,16.04,16.04,16.04,16.04,0,15.8029883489,15.8029883489,15.8029883489,15.8029883489,0,0.0,1.0
